time,load
2024-01-01T00:00:00,28400
2024-01-01T01:00:00,27120
2024-01-01T02:00:00,26310
2024-01-01T03:00:00,25880
2024-01-01T04:00:00,26460
2024-01-01T05:00:00,28120
2024-01-01T06:00:00,30940
2024-01-01T07:00:00,34720
2024-01-01T08:00:00,38610
2024-01-01T09:00:00,41250
2024-01-01T10:00:00,42680
2024-01-01T11:00:00,43540
2024-01-01T12:00:00,44120
2024-01-01T13:00:00,43800
2024-01-01T14:00:00,43160
2024-01-01T15:00:00,42840
2024-01-01T16:00:00,43920
2024-01-01T17:00:00,46380
2024-01-01T18:00:00,48720
2024-01-01T19:00:00,49640
2024-01-01T20:00:00,48210
2024-01-01T21:00:00,45120
2024-01-01T22:00:00,40740
2024-01-01T23:00:00,35920
2024-01-02T00:00:00,32150
2024-01-02T01:00:00,30120
2024-01-02T02:00:00,28940
2024-01-02T03:00:00,28310
2024-01-02T04:00:00,29180
2024-01-02T05:00:00,31260
2024-01-02T06:00:00,34680
2024-01-02T07:00:00,38940
